batch_date,check_name,description,execution_timestamp,failed_count,status,table_name
2026-07-21,not_null_customer_sk,Column customer_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_customer
2026-07-21,not_null_customer_id,Column customer_id must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_customer
2026-07-21,not_null_effective_from,Column effective_from must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_customer
2026-07-21,not_null_record_version,Column record_version must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_customer
2026-07-21,not_null_is_current,Column is_current must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_customer
2026-07-21,unique_key,Key columns must uniquely identify each record: ['customer_sk'],2026-09-23T05:23:55,0,PASS,dim_customer
2026-07-21,not_null_product_sk,Column product_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_product
2026-07-21,not_null_product_id,Column product_id must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_product
2026-07-21,not_null_effective_from,Column effective_from must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_product
2026-07-21,not_null_record_version,Column record_version must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_product
2026-07-21,not_null_is_current,Column is_current must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_product
2026-07-21,unique_key,Key columns must uniquely identify each record: ['product_sk'],2026-09-23T05:23:55,0,PASS,dim_product
2026-07-21,not_null_date_key,Column date_key must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_date
2026-07-21,not_null_calendar_date,Column calendar_date must not contain null values.,2026-09-23T05:23:55,0,PASS,dim_date
2026-07-21,unique_key,Key columns must uniquely identify each record: ['date_key'],2026-09-23T05:23:55,0,PASS,dim_date
2026-07-21,not_null_sales_sk,Column sales_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_sales
2026-07-21,not_null_order_sk,Column order_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_sales
2026-07-21,not_null_customer_sk,Column customer_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_sales
2026-07-21,not_null_product_sk,Column product_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_sales
2026-07-21,not_null_order_date_key,Column order_date_key must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_sales
2026-07-21,unique_key,Key columns must uniquely identify each record: ['sales_sk'],2026-09-23T05:23:55,0,PASS,fact_sales
2026-07-21,not_null_payment_sk,Column payment_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_payment
2026-07-21,not_null_order_sk,Column order_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_payment
2026-07-21,not_null_customer_sk,Column customer_sk must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_payment
2026-07-21,not_null_payment_date_key,Column payment_date_key must not contain null values.,2026-09-23T05:23:55,0,PASS,fact_payment
2026-07-21,unique_key,Key columns must uniquely identify each record: ['payment_sk'],2026-09-23T05:23:55,0,PASS,fact_payment
2026-07-21,foreign_key_customer_sk,Every fact_sales.customer_sk must exist in dim_customer.customer_sk.,2026-09-23T05:23:55,0,PASS,fact_sales
2026-07-21,foreign_key_product_sk,Every fact_sales.product_sk must exist in dim_product.product_sk.,2026-09-23T05:23:55,0,PASS,fact_sales
